"cell_value","category_code","geo_level_code","data_type_code","time","Quarter"
302,"FORSALE","US","TOTAL","1991-04","1991-Q2"
16,"SOLD","US","UNDERC","1991-04","1991-Q2"
150800,"SOLD","US","AVERAG","1991-04","1991-Q2"
18,"SOLD","US","COMPED","1991-04","1991-Q2"
121000,"SOLD","US","MEDIAN","1991-04","1991-Q2"
50,"SOLD","US","TOTAL","1991-04","1991-Q2"
16,"SOLD","US","NOTSTD","1991-04","1991-Q2"
136,"ASOLD","WE","TOTAL","1991-04","1991-Q2"
90,"FORSALE","WE","TOTAL","1991-04","1991-Q2"
13,"SOLD","WE","TOTAL","1991-04","1991-Q2"
103,"ASOLD","MW","TOTAL","1991-05","1991-Q2"
58,"ASOLD","NE","TOTAL","1991-05","1991-Q2"
5,"SOLD","NE","TOTAL","1991-05","1991-Q2"
39,"FORSALE","MW","TOTAL","1991-05","1991-Q2"
10,"SOLD","MW","TOTAL","1991-05","1991-Q2"
70,"FORSALE","NE","TOTAL","1991-05","1991-Q2"
211,"ASOLD","SO","TOTAL","1991-05","1991-Q2"
101,"FORSALE","SO","TOTAL","1991-05","1991-Q2"
19,"SOLD","SO","TOTAL","1991-05","1991-Q2"
517,"ASOLD","US","TOTAL","1991-05","1991-Q2"
59,"FORSALE","US","NOTSTD","1991-05","1991-Q2"
7.8,"FORSALE","US","MMTHS","1991-05","1991-Q2"
6.3,"FORSALE","US","MONSUP","1991-05","1991-Q2"
105,"FORSALE","US","COMPED","1991-05","1991-Q2"
300,"FORSALE","US","TOTAL","1991-05","1991-Q2"
136,"FORSALE","US","UNDERC","1991-05","1991-Q2"
7,"FORSALE","US","MONSUP","1991-05","1991-Q2"
298,"FORSALE","US","TOTAL","1991-05","1991-Q2"
16,"SOLD","US","UNDERC","1991-05","1991-Q2"
145400,"SOLD","US","AVERAG","1991-05","1991-Q2"
16,"SOLD","US","COMPED","1991-05","1991-Q2"
116000,"SOLD","US","MEDIAN","1991-05","1991-Q2"
47,"SOLD","US","TOTAL","1991-05","1991-Q2"
